batch,score,loss,loss_v
198,-44,-8.650327,554.4445
199,-32,-9.699603,274.16885
200,-50,-11.795328,557.4375
201,-36,-5.233868,230.57172
202,-50,-12.005928,553.5929
203,-38,-7.495521,266.88382
204,-50,-13.362939,556.3714
205,-26,-3.9523528,99.79189
206,-50,-11.480672,556.56665
207,-50,-11.699869,552.2062
208,-50,-12.435806,555.057
209,-18,-8.456596,261.74902
210,-38,-7.5260468,302.78903
211,-10,-6.9640126,233.51547
212,-28,-8.308664,396.7748
213,-50,-11.01338,552.68536
214,-50,-9.328174,573.6248
215,-50,-10.96769,555.41064
216,-46,-12.915658,548.89624
217,-28,-4.037097,130.14001
218,-50,-10.255763,552.913
219,-36,-6.0272255,232.50887
220,-46,-10.227064,463.49265
221,-38,-8.092184,496.7133
222,-38,-7.0963454,260.9945
223,-40,-6.1969404,343.92453
224,-38,-8.403182,329.09778
225,-44,-6.4200687,383.9206
226,-50,-5.740903,551.77594
227,-28,-4.68037,138.45033
228,-40,-8.706377,521.3441
229,-50,-8.873723,553.32166
230,-24,-3.9575832,363.61032
231,-32,-3.4702878,170.56622
232,-34,-7.0498757,233.67041
233,-32,-7.8829126,446.93414
234,-36,-4.9128475,488.98572
235,-50,-9.5084505,553.6143
236,-40,-10.935339,514.9652
237,-50,-9.169591,551.676
238,-34,-3.043318,213.26808
239,-42,-8.939088,535.3919
240,-30,-2.5259397,151.76384
241,-36,-3.9771953,217.83195
242,-28,-3.1708958,141.95149
243,-50,-5.282456,551.3744
244,-40,-4.97579,294.96817
245,-50,-7.1797705,557.8424
246,-38,-3.654141,290.57233
247,-38,-5.184775,296.2364
248,-38,-5.357075,291.05496
249,-50,-11.073533,551.04803
250,-40,-6.957721,344.24796
251,-50,-11.01521,550.27673
252,-30,-1.2696713,146.38118
253,-50,-6.7695007,557.3192
254,-34,-5.1837645,224.94043
255,-50,-7.8034616,549.15344
256,-50,-7.7925234,550.9327
257,-46,-8.069985,548.5711
258,-36,-5.3336225,485.43164
259,-30,-8.272662,422.63757
260,-48,-8.590475,552.27094
261,-46,-7.313091,434.4358
262,-40,-4.461043,327.29428
263,-44,-9.34662,539.3335
264,-50,-11.458789,550.74634
265,-38,-9.119176,496.1078
266,-40,-4.0509033,330.13895
267,-50,-5.6580334,550.7816
268,-38,-5.766794,499.79044
