num_episode,loss,td_error,reward_avg
1,0.26889568714424966,0.36733373939991,-1.0
2,0.15239266945049168,0.23555452063679694,-0.65
3,0.1609405601490289,0.21720894783735276,-0.95
4,0.28303755215369164,0.2569908622652292,-0.96
5,0.4029475742019713,0.2840121569111943,-1.0
6,0.6077025757543743,0.34633520282804964,-0.52
7,0.6861382630094885,0.3854856035113335,-0.48
8,0.9622265914455056,0.4448821418732405,-0.33
9,1.2925656036287547,0.5080944347381592,-0.74
10,2.008914068415761,0.6256333123147487,-0.3
11,1.634085438773036,0.5866744622588158,-0.86
12,2.2274838228523732,0.6468344095349312,0.41
13,1.8252331675589084,0.6569328744709492,-0.67
14,2.519801809936762,0.7347982601821422,0.12
15,2.749145946726203,0.761893200725317,-0.79
16,2.7346493981778623,0.7546451437473297,0.81
17,3.0387988364696503,0.7943341721594334,0.23
18,2.6104058487713337,0.7553946761786938,0.82
19,3.5573106440901756,0.8335029025375843,0.6
20,3.4830576910078523,0.8282540507614613,-0.29
21,3.231913539469242,0.8646539989113807,0.61
22,3.8452173602581023,0.8746267180144787,0.82
23,4.493752906173468,0.9217177954316139,0.61
24,4.048115991353988,0.8508498245477676,0.82
25,4.575651747882366,0.9146944163739681,0.82
26,4.164961138218641,0.9079455137252808,0.8
27,4.389729969054461,0.9736292034387588,0.78
28,4.109046556651593,0.9241117122769356,0.6
29,4.577493963390589,0.907729721814394,-0.15
30,5.440236831009388,1.004487479776144,0.81
31,4.4740934686362746,0.9448246808350086,0.09
32,4.922560635507107,0.981753627359867,0.01
33,7.043968023657799,1.1339366406202316,0.62
34,6.441927841007709,1.0619008079171182,0.26
35,6.131740740835666,1.0267371805012226,0.82
36,7.059313755035401,1.049579625427723,0.23
37,7.142402884140611,0.9866050334274769,0.58
38,6.39538316205144,0.989516611546278,0.82
39,7.822497316896915,1.0630549404025078,0.82
40,6.281501185595989,0.9976257582008838,0.61
41,9.365211606770753,1.1153445799648762,0.23
42,7.802448630183935,1.115512644201517,0.79
43,8.206798002421856,1.0615322203934192,0.11
44,9.146676858365536,1.1034974220395088,0.59
45,10.215849219709634,1.1473866426944732,0.82
46,8.783807714283466,1.0773816715180873,0.44
47,9.330785352289677,1.1335338272154332,0.83
48,5.790090756416321,0.9291917727887631,0.44
49,9.574176332354545,1.103415724337101,-0.04
50,14.594712921977044,1.2680580854415893,0.81
51,11.77032804645598,1.1452662944793701,0.79
52,13.936066723763943,1.2589009137451648,0.43
53,9.944747202396393,1.113725389689207,0.11
54,12.649230338782072,1.1470671072602272,-0.6
